location,lat,long
St. Vincent,43.1614391,-0.1492738
Calabar,4.9795999,8.3373597
Liverpool,53.4071991,-2.99168
Grenada,12.1360374,-61.6904045
New Calabar,4.5756503,6.9677875
Kingston,17.9712148,-76.7928128
Bight of Biafra and Gulf of Guinea Islands,NA,NA
Bonny,4.5057810499999995,7.203465952746459
Congo River,-4.2584046,39.5665204
Ambriz,-7.844312,13.106493
NA,NA,NA
Dominica,19.0974031,-70.3028026
London,51.5073219,-0.1276474
Barbados,13.1500331,-59.5250305
Cape Mount (Cape Grand Mount),7.0496206,-11.129843
St. Kitts,17.31569295,-62.74468058526273
West Central Africa and St. Helena,NA,NA
Demerara,6.69270005,-58.25093129773093
Havana,23.135305,-82.3589631
Africa.,11.5024338,17.7578122
Saint John (Antigua),17.1184569,-61.8448509
Windward Coast (Nunez - Assini),NA,NA
Antigua,17.10371515,-61.790450458055844
Sierra Leone estuary,NA,NA
Cape Coast Castle,5.10362695,-1.24110041642788
Cumingsberg,NA,NA
Bight of Benin,5,2.1
Anomabu,5.1783461,-1.1215406
Suriname,4.1413025,-56.0771187
Gold Coast,-28.0023731,153.4145987
Accra,5.5571096,-0.2012376
"Lagos, Onim",-6.16558895,143.98474430110704
Cayenne,4.9371143,-52.3258307
Loango,-5.8700294,14.7632848
Bahamas,24.7736546,-78.0000547
Trinidad,10.443024300000001,-61.26130538878063
Gambia,13.470062,-15.4900464
Tortola,18.42105685,-64.63883251023499
St. Lucia,13.8250489,-60.975036
Cameroons River,NA,NA
Whydah,6.3666147,2.0853599
St. Croix,17.7289564,-64.75901597858353
Jamaica,18.1850507,-77.3947693
Cameroons,35.969854,-78.815865
Iles de Los,9.4831038499999991,-13.82673456028922
Charleston,32.7876012,-79.9402728
Grenada Point,44.785507,-93.193046
Goree,33.4699792,-99.523554
St. Thomas,49.4972,3.82019
Basse-Terre,16.0000778,-61.7333373
Bassa,43.7234343,10.8739439
Lancaster,40.03813,-76.3056686
???,NA,NA
Montego Bay,18.4724603,-77.9217357
Cabinda,-5.056395,12.3211749
Porto Novo,6.4990718,2.6253361
Gabon,-0.8999695,11.6899699
Zion Hill,38.1220137,-84.63916491210381
Cap Francais,-48.669018,69.0575008
Malembo,-0.7120482,31.7456255
Martinique,14.6367927,-61.01582685063731
St. Eustatius,17.5085293,-62.995476910131686
Banana Islands,8.1055883,-13.2272418
Benin,9.5293472,2.2584408
"British Caribbean, colony unspecified",NA,NA
Cuba,23.0131338,-80.8328748
River Brass,4.427498,6.3139074
Santiago de Cuba,20.0214637,-75.8294928
Sao Tome,0.3389242,6.7313031
Barcelona,41.3828939,2.1774322
